day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes
01,06,2012,29,57,18,0,65.7,3.4,7.6,1.3,3.4,0.5,not fire   
02,06,2012,29,61,13,1.3,64.4,4.1,7.6,1,3.9,0.4,not fire   
03,06,2012,26,82,22,13.1,47.1,2.5,7.1,0.3,2.7,0.1,not fire   
04,06,2012,25,89,13,2.5,28.6,1.3,6.9,0,1.7,0,not fire   
05,06,2012,27,77,16,0,64.8,3,14.2,1.2,3.9,0.5,not fire   
06,06,2012,31,67,14,0,82.6,5.8,22.2,3.1,7,2.5,fire   
07,06,2012,33,54,13,0,88.2,9.9,30.5,6.4,10.9,7.2,fire   
08,06,2012,30,73,15,0,86.6,12.1,38.3,5.6,13.5,7.1,fire   
09,06,2012,25,88,13,0.2,52.9,7.9,38.8,0.4,10.5,0.3,not fire   
10,06,2012,28,79,12,0,73.2,9.5,46.3,1.3,12.6,0.9,not fire   
11,06,2012,31,65,14,0,84.5,12.5,54.3,4,15.8,5.6,fire   
12,06,2012,26,81,19,0,84,13.8,61.4,4.8,17.7,7.1 ,fire   
13,06,2012,27,84,21,1.2,50,6.7,17,0.5,6.7,0.2,not fire   
14,06,2012,30,78,20,0.5,59,4.6,7.8,1,4.4,0.4,not fire   
15,06,2012,28,80,17,3.1,49.4,3,7.4,0.4,3,0.1,not fire   
16,06,2012,29,89,13,0.7,36.1,1.7,7.6,0,2.2,0,not fire   
17,06,2012,30,89,16,0.6,37.3,1.1,7.8,0,1.6,0,not fire   
18,06,2012,31,78,14,0.3,56.9,1.9,8,0.7,2.4,0.2,not fire   
19,06,2012,31,55,16,0.1,79.9,4.5,16,2.5,5.3,1.4,not fire   
20,06,2012,30,80,16,0.4,59.8,3.4,27.1,0.9,5.1,0.4,not fire   
21,06,2012,30,78,14,0,81,6.3,31.6,2.6,8.4,2.2,fire   
22,06,2012,31,67,17,0.1,79.1,7,39.5,2.4,9.7,2.3,not fire   
23,06,2012,32,62,18,0.1,81.4,8.2,47.7,3.3,11.5,3.8,fire   
